<TICKER>,<PER>,<DATE>,<TIME>,<LAST>,<VOL>
HPQ,0,20121115,130902,12.99000,400
HPQ,0,20121115,130902,12.99000,800
HPQ,0,20121115,130940,13.00000,500
HPQ,0,20121115,130940,13.00000,500
HPQ,0,20121115,130940,13.00000,500
HPQ,0,20121115,130940,13.00000,100
HPQ,0,20121115,130940,13.00000,100
HPQ,0,20121115,130940,13.00000,300
HPQ,0,20121115,131045,13.01000,600
HPQ,0,20121115,131045,13.01000,700
HPQ,0,20121115,131045,13.01000,200
HPQ,0,20121115,131045,13.01000,200
HPQ,0,20121115,131052,13.02000,200
HPQ,0,20121115,131052,13.02000,200
HPQ,0,20121115,131052,13.02000,100
HPQ,0,20121115,131052,13.02000,100
HPQ,0,20121115,131052,13.02000,200
HPQ,0,20121115,131055,13.02000,500
HPQ,0,20121115,131055,13.02500,100
HPQ,0,20121115,131056,13.02000,100
HPQ,0,20121115,131056,13.02000,1142
HPQ,0,20121115,131056,13.02000,300
HPQ,0,20121115,131056,13.02000,100
HPQ,0,20121115,131100,13.02000,300
HPQ,0,20121115,131100,13.02000,400
HPQ,0,20121115,131100,13.02000,100
HPQ,0,20121115,131100,13.02000,100
HPQ,0,20121115,131119,13.02000,400
HPQ,0,20121115,131120,13.02000,500
HPQ,0,20121115,131120,13.02000,700
HPQ,0,20121115,131120,13.02000,800
HPQ,0,20121115,131120,13.02000,200
HPQ,0,20121115,131120,13.02000,500
HPQ,0,20121115,131120,13.02000,100
HPQ,0,20121115,131139,13.02000,300
HPQ,0,20121115,131139,13.02000,200
HPQ,0,20121115,131140,13.02000,800
HPQ,0,20121115,131140,13.02000,500
HPQ,0,20121115,131223,13.02000,500
HPQ,0,20121115,131223,13.02000,500
HPQ,0,20121115,131223,13.02000,700
HPQ,0,20121115,131223,13.02000,500
HPQ,0,20121115,131223,13.02000,300
HPQ,0,20121115,131223,13.02000,200
HPQ,0,20121115,131223,13.02000,400
HPQ,0,20121115,131223,13.02000,500
HPQ,0,20121115,131256,13.03000,248
HPQ,0,20121115,131349,13.03000,500
HPQ,0,20121115,131349,13.03000,700
HPQ,0,20121115,131349,13.03000,600
HPQ,0,20121115,131349,13.03000,400
HPQ,0,20121115,131349,13.03000,800
HPQ,0,20121115,131349,13.03000,400
HPQ,0,20121115,131349,13.03000,1100
HPQ,0,20121115,131349,13.03000,200
HPQ,0,20121115,131349,13.03000,500
HPQ,0,20121115,131349,13.03000,100
HPQ,0,20121115,131349,13.03000,800
HPQ,0,20121115,131349,13.03000,800
HPQ,0,20121115,131349,13.03000,300
HPQ,0,20121115,131349,13.03000,700
HPQ,0,20121115,131349,13.03000,200
HPQ,0,20121115,131349,13.03000,100
HPQ,0,20121115,131349,13.03000,200
HPQ,0,20121115,131350,13.03000,593
HPQ,0,20121115,131350,13.03000,500
HPQ,0,20121115,131622,13.02500,100
HPQ,0,20121115,131645,13.03000,500
HPQ,0,20121115,131645,13.03000,100
HPQ,0,20121115,131645,13.03000,800
HPQ,0,20121115,131645,13.03000,100
HPQ,0,20121115,131647,13.03000,500
HPQ,0,20121115,131647,13.03000,200
HPQ,0,20121115,131738,13.03000,500
HPQ,0,20121115,131738,13.03000,800
HPQ,0,20121115,131738,13.03000,100
HPQ,0,20121115,131813,13.04000,500
HPQ,0,20121115,131813,13.04000,100
HPQ,0,20121115,131922,13.04000,100
HPQ,0,20121115,131922,13.04000,100
HPQ,0,20121115,131937,13.04000,100
HPQ,0,20121115,131937,13.04000,100
HPQ,0,20121115,131937,13.04000,200
HPQ,0,20121115,131937,13.04000,200
HPQ,0,20121115,131937,13.04000,500
HPQ,0,20121115,131937,13.04000,200
HPQ,0,20121115,131937,13.04000,100
HPQ,0,20121115,131937,13.04000,100
HPQ,0,20121115,131937,13.04000,100
HPQ,0,20121115,131937,13.04000,1000
HPQ,0,20121115,132115,13.03500,100
HPQ,0,20121115,132115,13.04000,400
HPQ,0,20121115,132115,13.04000,500
HPQ,0,20121115,132115,13.04000,800
HPQ,0,20121115,132115,13.04000,200
HPQ,0,20121115,132115,13.04000,200
HPQ,0,20121115,132115,13.04000,100
HPQ,0,20121115,132115,13.04000,200
HPQ,0,20121115,132115,13.04000,400
HPQ,0,20121115,132115,13.04000,100
HPQ,0,20121115,132115,13.04000,100
HPQ,0,20121115,132115,13.04000,900
HPQ,0,20121115,132115,13.04000,400
HPQ,0,20121115,132117,13.05000,200
HPQ,0,20121115,132117,13.05000,300
HPQ,0,20121115,132117,13.05000,200
HPQ,0,20121115,132117,13.05000,1800
HPQ,0,20121115,132117,13.05000,200
HPQ,0,20121115,132117,13.05000,100
HPQ,0,20121115,132117,13.05000,400
HPQ,0,20121115,132117,13.05000,900
HPQ,0,20121115,132117,13.05000,100
HPQ,0,20121115,132117,13.05000,100
HPQ,0,20121115,132117,13.05000,100
HPQ,0,20121115,132117,13.05000,200
HPQ,0,20121115,132117,13.05000,300
HPQ,0,20121115,132117,13.05000,800
HPQ,0,20121115,132117,13.05000,1300
HPQ,0,20121115,132117,13.05000,500
HPQ,0,20121115,132117,13.05000,1800
HPQ,0,20121115,132125,13.06000,106
HPQ,0,20121115,132125,13.05500,400
HPQ,0,20121115,132125,13.05500,100
HPQ,0,20121115,132125,13.05500,300
HPQ,0,20121115,132125,13.05500,100
HPQ,0,20121115,132125,13.05000,800
HPQ,0,20121115,132125,13.05000,600
HPQ,0,20121115,132125,13.05000,900
HPQ,0,20121115,132125,13.05000,100
HPQ,0,20121115,132125,13.05000,300
HPQ,0,20121115,132125,13.05000,200
HPQ,0,20121115,132125,13.05000,700
HPQ,0,20121115,132125,13.05000,200
HPQ,0,20121115,132125,13.05000,100
HPQ,0,20121115,132125,13.04000,150
HPQ,0,20121115,132204,13.04500,100
HPQ,0,20121115,132253,13.05000,100
HPQ,0,20121115,132524,13.05000,100
HPQ,0,20121115,132525,13.05000,272
HPQ,0,20121115,132525,13.05000,100
HPQ,0,20121115,132525,13.05000,245
HPQ,0,20121115,132525,13.05000,100
HPQ,0,20121115,132525,13.05000,100
HPQ,0,20121115,132525,13.05000,100
HPQ,0,20121115,132530,13.05000,2000
HPQ,0,20121115,132530,13.05000,1800
HPQ,0,20121115,132530,13.05000,100
HPQ,0,20121115,132530,13.05000,100
HPQ,0,20121115,132530,13.05000,500
HPQ,0,20121115,132531,13.05000,100
HPQ,0,20121115,132534,13.05000,300
HPQ,0,20121115,132534,13.05000,100
HPQ,0,20121115,132534,13.05000,400
HPQ,0,20121115,132534,13.05000,1100
HPQ,0,20121115,132534,13.05000,100
HPQ,0,20121115,132534,13.05000,100
HPQ,0,20121115,132619,13.04500,100
HPQ,0,20121115,132619,13.04000,332
HPQ,0,20121115,132619,13.04000,118
HPQ,0,20121115,132619,13.04000,182
HPQ,0,20121115,132700,13.04000,200
HPQ,0,20121115,132700,13.04000,100
HPQ,0,20121115,132700,13.04000,300
HPQ,0,20121115,132700,13.04000,200
HPQ,0,20121115,132700,13.04000,200
HPQ,0,20121115,132700,13.04000,600
HPQ,0,20121115,132700,13.04000,200
HPQ,0,20121115,132700,13.04000,100
HPQ,0,20121115,132700,13.04000,100
HPQ,0,20121115,132700,13.04000,300
HPQ,0,20121115,132700,13.04000,200
HPQ,0,20121115,132700,13.04000,100
HPQ,0,20121115,132705,13.03000,500
HPQ,0,20121115,132705,13.03000,100
HPQ,0,20121115,132705,13.03000,100
HPQ,0,20121115,132709,13.02000,200
HPQ,0,20121115,132709,13.02000,100
HPQ,0,20121115,132709,13.02000,200
HPQ,0,20121115,132716,13.02000,100
HPQ,0,20121115,132716,13.02000,100
HPQ,0,20121115,132716,13.02000,400
HPQ,0,20121115,132716,13.03000,394
HPQ,0,20121115,132716,13.03000,196
HPQ,0,20121115,132716,13.03000,150
HPQ,0,20121115,132723,13.03000,254
HPQ,0,20121115,132723,13.03000,500
HPQ,0,20121115,132733,13.04000,500
HPQ,0,20121115,132733,13.04000,800
HPQ,0,20121115,132733,13.04000,600
HPQ,0,20121115,132733,13.04000,200
HPQ,0,20121115,132733,13.04000,100
HPQ,0,20121115,132733,13.04000,100
HPQ,0,20121115,132733,13.04000,500
HPQ,0,20121115,132733,13.04000,600
HPQ,0,20121115,132733,13.04000,200
